Source Image,Matched URL,FLANN Score,Feature Matches,Comparison Image Path
Billb_372.jpg,https://stat.ameba.jp/user_images/20190207/23/michimichi-morning/4c/9e/j/o1080080914352274893.jpg,0.8472,183,similar_images/Billb_372_comparison_0.8472.jpg
Billb_373.jpg,https://tblg.k-img.com/restaurant/images/Rvw/242538/2ed364954514c8f0eebe3835f4cd4331.jpg,0.9295,343,similar_images/Billb_373_comparison_0.9295.jpg
Billb_378.jpg,https://tblg.k-img.com/restaurant/images/Rvw/277825/640x640_rect_22ca896a7067205ae53085f5072e3353.jpg,0.8422,475,similar_images/Billb_378_comparison_0.8422.jpg
Billb_380.jpg,https://tblg.k-img.com/restaurant/images/Rvw/65549/320x320_square_65549123.jpg,0.8054,120,similar_images/Billb_380_comparison_0.8054.jpg
Billb_388.jpg,https://stat.ameba.jp/user_images/20241014/12/momo918-blog/d3/bc/j/o0676093115497696026.jpg,0.8416,85,similar_images/Billb_388_comparison_0.8416.jpg
Billb_393.jpg,https://news.mynavi.jp/article/syouwafood_chuoLine-101/images/002.jpg,0.9416,145,similar_images/Billb_393_comparison_0.9416.jpg
Billb_400.jpg,https://stat.ameba.jp/user_images/20221024/06/cloverleaf55/27/9b/j/o1181157115192728196.jpg,0.8839,236,similar_images/Billb_400_comparison_0.8839.jpg
Billb_402.jpg,http://sakakishinichiro.com/wp/wp-content/uploads/2021/01/arotop.jpg,0.9080,148,similar_images/Billb_402_comparison_0.9080.jpg
Billb_406.jpg,https://imgfp.hotp.jp/IMGH/80/36/P037488036/P037488036_480.jpg,0.9156,141,similar_images/Billb_406_comparison_0.9156.jpg
Billb_408.jpg,https://tblg.k-img.com/restaurant/images/Rvw/89253/640x640_rect_89253525.jpg,0.8000,52,similar_images/Billb_408_comparison_0.8000.jpg
Billb_411.jpg,https://stat.ameba.jp/user_images/20230619/22/michimichi-morning/5f/2b/j/o0906125815301569694.jpg,0.8103,158,similar_images/Billb_411_comparison_0.8103_20250822_230206.jpg
Billb_412.jpg,https://blog-imgs-95.fc2.com/w/a/k/wakimichi2sorete/20130611225308.jpg,0.9152,151,similar_images/Billb_412_comparison_0.9152.jpg
